Question Number,Question Type,Question,Answer
1.i,Fill in the blanks,-44 + ____ = -88,-44
1.ii,Fill in the blanks,____ – 75 = -45,30
1.iii,Fill in the blanks,____ – (+50) = -80,-30
2.i,True or False,(-675) – (-400) = -1075,False
2.ii,True or False,15 – (-18) is the same as 15 + 18,True
2.iii,True or False,(-45) – (-8) = (-8) – (-45),False
3.i,Number Line Problem,-3 – (-4) using number line,+1
3.ii,Number Line Problem,7 – (-10) using number line,+17
3.iii,Subtraction,35 – (-64),99
3.iv,Subtraction,-200 – (+100),-300
4,Word Problem,"Kabilan was having 10 pencils with him. He gave 2 pencils to senthil and 3 to Karthick. Next day his father gave him 6 more pencils, from that he gave 8 to his sister. How many pencils are left with him?",3
5,Word Problem,"A lift is on the ground floor. If it goes 5 floors down and then moves up to 10 floors from there, then in which floor will the lift be?",5th floor
6,Word Problem,"When Kala woke up, her body temperature was 102°F. She took medicine for fever. After 2 hours it was 2°F lower. What was her temperature then?",100°F
7,Word Problem,What number should be added to (-17) to get -19?,-2
8,Problem Solving,"A student was asked to subtract (-12) from -47. He got -30. Is he correct? Justify.","No, the correct answer is -35"
9,Multiple Choice,(-5) – (-18),13
10,Multiple Choice,(-100) – 0 + 100 =,0
